gen,english_name,percent_male,percent_female,height_m,weight_kg,capture_rate,base_egg_steps,hp,attack,defense,sp_attack,sp_defense,speed,against_normal,against_fire,against_water,against_electric,against_grass,against_ice,against_fighting,against_poison,against_ground,against_flying,against_psychict,against_bug,against_rock,against_ghost,against_dragon,against_dark,against_steel,against_fairy,votes_first,votes_top_6,num_abilities,evo_length,has_mega_evolution,has_gigantamax,rarity,class_primary,class_secondary
1.0,Bulbasaur,88.14,11.86,0.7,6.9,45.0,5120.0,45.0,49.0,49.0,65.0,65.0,45.0,1.0,2.0,0.5,0.5,0.25,2.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,57.0,147.0,2.0,5.0,0.0,0.0,0.0,0,0
1.0,Ivysaur,88.14,11.86,1.0,13.0,45.0,5120.0,60.0,62.0,63.0,80.0,80.0,60.0,1.0,2.0,0.5,0.5,0.25,2.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,2.0,25.0,2.0,5.0,0.0,0.0,0.0,0,0
1.0,Venusaur,88.14,11.86,2.0,100.0,45.0,5120.0,80.0,82.0,83.0,100.0,100.0,80.0,1.0,2.0,0.5,0.5,0.25,2.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,9.0,61.0,2.0,5.0,1.0,1.0,0.0,0,0
1.0,Charmander,88.14,11.86,0.6,8.5,45.0,5120.0,39.0,52.0,43.0,60.0,50.0,65.0,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5,12.0,38.0,2.0,5.0,0.0,0.0,0.0,1,1
1.0,Charmeleon,88.14,11.86,1.1,19.0,45.0,5120.0,58.0,64.0,58.0,80.0,65.0,80.0,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5,3.0,8.0,2.0,5.0,0.0,0.0,0.0,1,1
1.0,Charizard,88.14,11.86,1.7,90.5,45.0,5120.0,78.0,84.0,78.0,109.0,85.0,100.0,1.0,0.5,2.0,2.0,0.25,1.0,0.5,1.0,0.0,1.0,1.0,0.25,4.0,1.0,1.0,1.0,0.5,0.5,69.0,248.0,2.0,5.0,1.0,1.0,0.0,1,2
1.0,Squirtle,88.14,11.86,0.5,9.0,45.0,5120.0,44.0,48.0,65.0,50.0,64.0,43.0,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,19.0,70.0,2.0,5.0,0.0,0.0,0.0,2,1
1.0,Wartortle,88.14,11.86,1.0,22.5,45.0,5120.0,59.0,63.0,80.0,65.0,80.0,58.0,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,6.0,21.0,2.0,5.0,0.0,0.0,0.0,2,1
1.0,Blastoise,88.14,11.86,1.6,85.5,45.0,5120.0,79.0,83.0,100.0,85.0,105.0,78.0,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,20.0,89.0,2.0,5.0,1.0,1.0,0.0,2,1
1.0,Caterpie,50.2,49.8,0.3,2.9,255.0,3840.0,45.0,30.0,35.0,20.0,20.0,45.0,1.0,2.0,1.0,1.0,0.5,1.0,0.5,1.0,0.5,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,6.0,2.0,5.0,0.0,0.0,0.0,3,1
1.0,Metapod,50.2,49.8,0.7,9.9,120.0,3840.0,50.0,20.0,55.0,25.0,25.0,30.0,1.0,2.0,1.0,1.0,0.5,1.0,0.5,1.0,0.5,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,5.0,0.0,0.0,0.0,3,1
1.0,Butterfree,50.2,49.8,1.1,32.0,45.0,3840.0,60.0,45.0,50.0,90.0,80.0,70.0,1.0,2.0,1.0,2.0,0.25,2.0,0.25,1.0,0.0,2.0,1.0,0.5,4.0,1.0,1.0,1.0,1.0,1.0,6.0,18.0,2.0,5.0,0.0,1.0,0.0,3,2
1.0,Weedle,50.0,50.0,0.3,3.2,255.0,3840.0,40.0,35.0,30.0,20.0,20.0,50.0,1.0,2.0,1.0,1.0,0.25,1.0,0.25,0.5,1.0,2.0,2.0,0.5,2.0,1.0,1.0,1.0,1.0,0.5,1.0,2.0,2.0,5.0,0.0,0.0,0.0,3,0
1.0,Kakuna,50.0,50.0,0.6,10.0,120.0,3840.0,45.0,25.0,50.0,25.0,25.0,35.0,1.0,2.0,1.0,1.0,0.25,1.0,0.25,0.5,1.0,2.0,2.0,0.5,2.0,1.0,1.0,1.0,1.0,0.5,0.0,0.0,1.0,5.0,0.0,0.0,0.0,3,0
1.0,Beedrill,50.0,50.0,1.0,29.5,45.0,3840.0,65.0,90.0,40.0,45.0,80.0,75.0,1.0,2.0,1.0,1.0,0.25,1.0,0.25,0.5,1.0,2.0,2.0,0.5,2.0,1.0,1.0,1.0,1.0,0.5,2.0,8.0,2.0,5.0,1.0,0.0,0.0,3,0
1.0,Pidgey,50.0,50.0,0.3,1.8,255.0,3840.0,40.0,45.0,40.0,35.0,35.0,56.0,1.0,1.0,1.0,2.0,0.5,2.0,1.0,1.0,0.0,1.0,1.0,0.5,2.0,0.0,1.0,1.0,1.0,1.0,1.0,6.0,3.0,5.0,0.0,0.0,0.0,4,2
1.0,Pidgeotto,50.0,50.0,1.1,30.0,120.0,3840.0,63.0,60.0,55.0,50.0,50.0,71.0,1.0,1.0,1.0,2.0,0.5,2.0,1.0,1.0,0.0,1.0,1.0,0.5,2.0,0.0,1.0,1.0,1.0,1.0,1.0,5.0,3.0,5.0,0.0,0.0,0.0,4,2
1.0,Pidgeot,50.0,50.0,1.5,39.5,45.0,3840.0,83.0,80.0,75.0,70.0,70.0,101.0,1.0,1.0,1.0,2.0,0.5,2.0,1.0,1.0,0.0,1.0,1.0,0.5,2.0,0.0,1.0,1.0,1.0,1.0,5.0,33.0,3.0,5.0,1.0,0.0,0.0,4,2
1.0,Rattata,50.0,50.0,0.3,3.5,255.0,3840.0,30.0,56.0,35.0,25.0,35.0,72.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,3.0,3.0,3.0,0.0,0.0,0.0,4,3
1.0,Raticate,50.0,50.0,0.7,18.5,127.0,3840.0,55.0,81.0,60.0,50.0,70.0,97.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,5.0,3.0,3.0,0.0,0.0,0.0,4,3
1.0,Spearow,50.0,50.0,0.3,2.0,255.0,3840.0,40.0,60.0,30.0,31.0,31.0,70.0,1.0,1.0,1.0,2.0,0.5,2.0,1.0,1.0,0.0,1.0,1.0,0.5,2.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,4,2
1.0,Fearow,50.0,50.0,1.2,38.0,90.0,3840.0,65.0,90.0,65.0,61.0,61.0,100.0,1.0,1.0,1.0,2.0,0.5,2.0,1.0,1.0,0.0,1.0,1.0,0.5,2.0,0.0,1.0,1.0,1.0,1.0,0.0,3.0,2.0,3.0,0.0,0.0,0.0,4,2
1.0,Ekans,50.0,50.0,2.0,6.9,255.0,5120.0,35.0,60.0,44.0,40.0,54.0,55.0,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5,0.0,3.0,3.0,3.0,0.0,0.0,0.0,5,1
1.0,Arbok,50.0,50.0,3.5,65.0,90.0,5120.0,60.0,95.0,69.0,65.0,79.0,80.0,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5,2.0,7.0,3.0,3.0,0.0,0.0,0.0,5,1
1.0,Pikachu,50.2,49.8,0.4,6.0,190.0,2560.0,35.0,55.0,40.0,50.0,50.0,90.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,15.0,70.0,2.0,5.0,0.0,1.0,0.0,6,1
1.0,Raichu,50.2,49.8,0.8,30.0,75.0,2560.0,60.0,90.0,55.0,90.0,80.0,110.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,22.0,64.0,3.0,5.0,0.0,0.0,0.0,6,4
1.0,Sandshrew,50.2,49.8,0.6,12.0,255.0,5120.0,50.0,75.0,85.0,20.0,30.0,40.0,1.0,1.0,2.0,0.0,2.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,5.0,18.0,2.0,3.0,0.0,0.0,0.0,7,5
1.0,Sandslash,50.2,49.8,1.0,29.5,90.0,5120.0,75.0,100.0,110.0,45.0,55.0,65.0,1.0,1.0,2.0,0.0,2.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,8.0,27.0,2.0,3.0,0.0,0.0,0.0,7,5
1.0,Nidoran♀,0.0,100.0,0.4,7.0,235.0,5120.0,55.0,47.0,52.0,40.0,40.0,41.0,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5,1.0,4.0,3.0,7.0,0.0,0.0,0.0,5,1
1.0,Nidorina,0.0,100.0,0.8,20.0,120.0,5120.0,70.0,62.0,67.0,55.0,55.0,56.0,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5,0.0,2.0,3.0,7.0,0.0,0.0,0.0,5,1
1.0,Nidoqueen,0.0,100.0,1.3,60.0,45.0,5120.0,90.0,92.0,87.0,75.0,85.0,76.0,1.0,1.0,2.0,0.0,1.0,2.0,0.5,0.25,2.0,1.0,2.0,0.5,0.5,1.0,1.0,1.0,1.0,0.5,1.0,10.0,3.0,7.0,0.0,0.0,0.0,5,6
1.0,Nidoran♂,100.0,0.0,0.5,9.0,235.0,5120.0,46.0,57.0,40.0,40.0,40.0,50.0,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5,0.0,2.0,3.0,7.0,0.0,0.0,0.0,5,1
1.0,Nidorino,100.0,0.0,0.9,19.5,120.0,5120.0,61.0,72.0,57.0,55.0,55.0,65.0,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5,0.0,3.0,3.0,7.0,0.0,0.0,0.0,5,1
1.0,Nidoking,100.0,0.0,1.4,62.0,45.0,5120.0,81.0,102.0,77.0,85.0,75.0,85.0,1.0,1.0,2.0,0.0,1.0,2.0,0.5,0.25,2.0,1.0,2.0,0.5,0.5,1.0,1.0,1.0,1.0,0.5,12.0,84.0,3.0,7.0,0.0,0.0,0.0,5,6
1.0,Clefairy,24.9,75.1,0.6,7.5,150.0,2560.0,70.0,45.0,48.0,60.0,65.0,35.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,1.0,1.0,0.0,0.5,2.0,1.0,3.0,9.0,3.0,5.0,0.0,0.0,0.0,8,1
1.0,Clefable,24.9,75.1,1.3,40.0,25.0,2560.0,95.0,70.0,73.0,95.0,90.0,60.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,1.0,1.0,0.0,0.5,2.0,1.0,3.0,15.0,3.0,5.0,0.0,0.0,0.0,8,1
1.0,Vulpix,24.9,75.1,0.6,9.9,190.0,5120.0,38.0,41.0,40.0,50.0,65.0,65.0,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5,8.0,38.0,2.0,3.0,0.0,0.0,0.0,1,5
1.0,Ninetales,24.9,75.1,1.1,19.9,75.0,5120.0,73.0,76.0,75.0,81.0,100.0,100.0,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5,20.0,73.0,2.0,3.0,0.0,0.0,0.0,1,5
1.0,Jigglypuff,24.9,75.1,0.5,5.5,170.0,2560.0,115.0,45.0,20.0,45.0,25.0,20.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.5,1.0,0.0,0.0,0.5,2.0,1.0,7.0,17.0,3.0,5.0,0.0,0.0,0.0,4,7
1.0,Wigglytuff,24.9,75.1,1.0,12.0,50.0,2560.0,140.0,70.0,45.0,85.0,50.0,45.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.5,1.0,0.0,0.0,0.5,2.0,1.0,3.0,13.0,3.0,5.0,0.0,0.0,0.0,4,7
