english_name,class_primary,class_secondary,attack,gen,percent_male,percent_female,height_m,weight_kg,capture_rate,base_egg_steps,hp,defense,sp_attack,sp_defense,speed,against_normal,against_fire,against_water,against_electric,against_grass,against_ice,against_fighting,against_poison,against_ground,against_flying,against_psychict,against_bug,against_rock,against_ghost,against_dragon,against_dark,against_steel,against_fairy,votes_first,votes_top_6,num_abilities,evo_length,has_mega_evolution,has_gigantamax,rarity
Bulbasaur,0,0,49.0,1.0,88.14,11.86,0.7,6.9,45.0,5120.0,45.0,49.0,65.0,65.0,45.0,1.0,2.0,0.5,0.5,0.25,2.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,57.0,147.0,2.0,5.0,0.0,0.0,0.0
Ivysaur,0,0,62.0,1.0,88.14,11.86,1.0,13.0,45.0,5120.0,60.0,63.0,80.0,80.0,60.0,1.0,2.0,0.5,0.5,0.25,2.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,2.0,25.0,2.0,5.0,0.0,0.0,0.0
Venusaur,0,0,82.0,1.0,88.14,11.86,2.0,100.0,45.0,5120.0,80.0,83.0,100.0,100.0,80.0,1.0,2.0,0.5,0.5,0.25,2.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,9.0,61.0,2.0,5.0,1.0,1.0,0.0
Charmander,1,1,52.0,1.0,88.14,11.86,0.6,8.5,45.0,5120.0,39.0,43.0,60.0,50.0,65.0,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5,12.0,38.0,2.0,5.0,0.0,0.0,0.0
Charmeleon,1,1,64.0,1.0,88.14,11.86,1.1,19.0,45.0,5120.0,58.0,58.0,80.0,65.0,80.0,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5,3.0,8.0,2.0,5.0,0.0,0.0,0.0
Squirtle,2,1,48.0,1.0,88.14,11.86,0.5,9.0,45.0,5120.0,44.0,65.0,50.0,64.0,43.0,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,19.0,70.0,2.0,5.0,0.0,0.0,0.0
Wartortle,2,1,63.0,1.0,88.14,11.86,1.0,22.5,45.0,5120.0,59.0,80.0,65.0,80.0,58.0,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,6.0,21.0,2.0,5.0,0.0,0.0,0.0
Blastoise,2,1,83.0,1.0,88.14,11.86,1.6,85.5,45.0,5120.0,79.0,100.0,85.0,105.0,78.0,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,20.0,89.0,2.0,5.0,1.0,1.0,0.0
Caterpie,3,1,30.0,1.0,50.2,49.8,0.3,2.9,255.0,3840.0,45.0,35.0,20.0,20.0,45.0,1.0,2.0,1.0,1.0,0.5,1.0,0.5,1.0,0.5,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,6.0,2.0,5.0,0.0,0.0,0.0
Metapod,3,1,20.0,1.0,50.2,49.8,0.7,9.9,120.0,3840.0,50.0,55.0,25.0,25.0,30.0,1.0,2.0,1.0,1.0,0.5,1.0,0.5,1.0,0.5,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,5.0,0.0,0.0,0.0
Butterfree,3,2,45.0,1.0,50.2,49.8,1.1,32.0,45.0,3840.0,60.0,50.0,90.0,80.0,70.0,1.0,2.0,1.0,2.0,0.25,2.0,0.25,1.0,0.0,2.0,1.0,0.5,4.0,1.0,1.0,1.0,1.0,1.0,6.0,18.0,2.0,5.0,0.0,1.0,0.0
Weedle,3,0,35.0,1.0,50.0,50.0,0.3,3.2,255.0,3840.0,40.0,30.0,20.0,20.0,50.0,1.0,2.0,1.0,1.0,0.25,1.0,0.25,0.5,1.0,2.0,2.0,0.5,2.0,1.0,1.0,1.0,1.0,0.5,1.0,2.0,2.0,5.0,0.0,0.0,0.0
Kakuna,3,0,25.0,1.0,50.0,50.0,0.6,10.0,120.0,3840.0,45.0,50.0,25.0,25.0,35.0,1.0,2.0,1.0,1.0,0.25,1.0,0.25,0.5,1.0,2.0,2.0,0.5,2.0,1.0,1.0,1.0,1.0,0.5,0.0,0.0,1.0,5.0,0.0,0.0,0.0
Beedrill,3,0,90.0,1.0,50.0,50.0,1.0,29.5,45.0,3840.0,65.0,40.0,45.0,80.0,75.0,1.0,2.0,1.0,1.0,0.25,1.0,0.25,0.5,1.0,2.0,2.0,0.5,2.0,1.0,1.0,1.0,1.0,0.5,2.0,8.0,2.0,5.0,1.0,0.0,0.0
Pidgey,4,2,45.0,1.0,50.0,50.0,0.3,1.8,255.0,3840.0,40.0,40.0,35.0,35.0,56.0,1.0,1.0,1.0,2.0,0.5,2.0,1.0,1.0,0.0,1.0,1.0,0.5,2.0,0.0,1.0,1.0,1.0,1.0,1.0,6.0,3.0,5.0,0.0,0.0,0.0
Pidgeotto,4,2,60.0,1.0,50.0,50.0,1.1,30.0,120.0,3840.0,63.0,55.0,50.0,50.0,71.0,1.0,1.0,1.0,2.0,0.5,2.0,1.0,1.0,0.0,1.0,1.0,0.5,2.0,0.0,1.0,1.0,1.0,1.0,1.0,5.0,3.0,5.0,0.0,0.0,0.0
Pidgeot,4,2,80.0,1.0,50.0,50.0,1.5,39.5,45.0,3840.0,83.0,75.0,70.0,70.0,101.0,1.0,1.0,1.0,2.0,0.5,2.0,1.0,1.0,0.0,1.0,1.0,0.5,2.0,0.0,1.0,1.0,1.0,1.0,5.0,33.0,3.0,5.0,1.0,0.0,0.0
Rattata,4,3,56.0,1.0,50.0,50.0,0.3,3.5,255.0,3840.0,30.0,35.0,25.0,35.0,72.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,3.0,3.0,3.0,0.0,0.0,0.0
Raticate,4,3,81.0,1.0,50.0,50.0,0.7,18.5,127.0,3840.0,55.0,60.0,50.0,70.0,97.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,5.0,3.0,3.0,0.0,0.0,0.0
Spearow,4,2,60.0,1.0,50.0,50.0,0.3,2.0,255.0,3840.0,40.0,30.0,31.0,31.0,70.0,1.0,1.0,1.0,2.0,0.5,2.0,1.0,1.0,0.0,1.0,1.0,0.5,2.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0
Fearow,4,2,90.0,1.0,50.0,50.0,1.2,38.0,90.0,3840.0,65.0,65.0,61.0,61.0,100.0,1.0,1.0,1.0,2.0,0.5,2.0,1.0,1.0,0.0,1.0,1.0,0.5,2.0,0.0,1.0,1.0,1.0,1.0,0.0,3.0,2.0,3.0,0.0,0.0,0.0
Ekans,5,1,60.0,1.0,50.0,50.0,2.0,6.9,255.0,5120.0,35.0,44.0,40.0,54.0,55.0,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5,0.0,3.0,3.0,3.0,0.0,0.0,0.0
Arbok,5,1,95.0,1.0,50.0,50.0,3.5,65.0,90.0,5120.0,60.0,69.0,65.0,79.0,80.0,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5,2.0,7.0,3.0,3.0,0.0,0.0,0.0
Pikachu,6,1,55.0,1.0,50.2,49.8,0.4,6.0,190.0,2560.0,35.0,40.0,50.0,50.0,90.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,15.0,70.0,2.0,5.0,0.0,1.0,0.0
