national_number,gen,english_name,japanese_name,primary_type,secondary_type,classification,percent_male,percent_female,height_m,weight_kg,capture_rate,base_egg_steps,hp,attack,defense,sp_attack,sp_defense,speed,abilities,against_normal,against_fire,against_water,against_electric,against_grass,against_ice,against_fighting,against_poison,against_ground,against_flying,against_psychic,against_bug,against_rock,against_ghost,against_dragon,against_dark,against_steel,against_fairy,is_sublegendary,is_legendary,is_mythical
001,I,Bulbasaur,Fushigidane,grass,poison,Seed Pokémon,88.14,11.86,0.7,6.9,45,5120,45,49,49,65,65,45,"['Overgrow', 'Chlorophyll (Hidden Ability)']",1,2,0.5,0.5,0.25,2,0.5,1,1,2,2,1,1,1,1,1,1,0.5,0.0,0.0,0.0
002,I,Ivysaur,Fushigisou,grass,poison,Seed Pokémon,88.14,11.86,1.0,13.0,45,5120,60,62,63,80,80,60,"['Overgrow', 'Chlorophyll (Hidden Ability)']",1,2,0.5,0.5,0.25,2,0.5,1,1,2,2,1,1,1,1,1,1,0.5,0.0,0.0,0.0
003,I,Venusaur,Fushigibana,grass,poison,Seed Pokémon,88.14,11.86,2.0,100.0,45,5120,80,82,83,100,100,80,"['Overgrow', 'Chlorophyll (Hidden Ability)']",1,2,0.5,0.5,0.25,2,0.5,1,1,2,2,1,1,1,1,1,1,0.5,0.0,0.0,0.0
004,I,Charmander,Hitokage,fire,,Lizard Pokémon,88.14,11.86,0.6,8.5,45,5120,39,52,43,60,50,65,"['Blaze', 'Solar Power (Hidden Ability)']",1,0.5,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,0.5,0.0,0.0,0.0
005,I,Charmeleon,Lizardo,fire,,Flame Pokémon,88.14,11.86,1.1,19.0,45,5120,58,64,58,80,65,80,"['Blaze', 'Solar Power (Hidden Ability)']",1,0.5,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,0.5,0.0,0.0,0.0
006,I,Charizard,Lizardon,fire,flying,Flame Pokémon,88.14,11.86,1.7,90.5,45,5120,78,84,78,109,85,100,"['Blaze', 'Solar Power (Hidden Ability)']",1,0.5,2,2,0.25,1,0.5,1,0,1,1,0.25,4,1,1,1,0.5,0.5,0.0,0.0,0.0
007,I,Squirtle,Zenigame,water,,Tiny Turtle Pokémon,88.14,11.86,0.5,9.0,45,5120,44,48,65,50,64,43,"['Torrent', 'Rain Dish (Hidden Ability)']",1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1,0.0,0.0,0.0
008,I,Wartortle,Kameil,water,,Turtle Pokémon,88.14,11.86,1.0,22.5,45,5120,59,63,80,65,80,58,"['Torrent', 'Rain Dish (Hidden Ability)']",1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1,0.0,0.0,0.0
009,I,Blastoise,Kamex,water,,Shellfish Pokémon,88.14,11.86,1.6,85.5,45,5120,79,83,100,85,105,78,"['Torrent', 'Rain Dish (Hidden Ability)']",1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1,0.0,0.0,0.0
010,I,Caterpie,Caterpie,bug,,Worm Pokémon,50.2,49.8,0.3,2.9,255,3840,45,30,35,20,20,45,"['Shield Dust', 'Run Away (Hidden Ability)']",1,2,1,1,0.5,1,0.5,1,0.5,2,1,1,2,1,1,1,1,1,0.0,0.0,0.0
011,I,Metapod,Transel,bug,,Cocoon Pokémon,50.2,49.8,0.7,9.9,120,3840,50,20,55,25,25,30,['Shed Skin'],1,2,1,1,0.5,1,0.5,1,0.5,2,1,1,2,1,1,1,1,1,0.0,0.0,0.0
012,I,Butterfree,Butterfree,bug,flying,Butterfly Pokémon,50.2,49.8,1.1,32.0,45,3840,60,45,50,90,80,70,"['Compoundeyes', 'Tinted Lens (Hidden Ability)']",1,2,1,2,0.25,2,0.25,1,0,2,1,0.5,4,1,1,1,1,1,0.0,0.0,0.0
013,I,Weedle,Beedle,bug,poison,Hairy Pokémon,50,50,0.3,3.2,255,3840,40,35,30,20,20,50,"['Shield Dust', 'Run Away (Hidden Ability)']",1,2,1,1,0.25,1,0.25,0.5,1,2,2,0.5,2,1,1,1,1,0.5,0.0,0.0,0.0
014,I,Kakuna,Cocoon,bug,poison,Cocoon Pokémon,50,50,0.6,10,120,3840,45,25,50,25,25,35,['Shed Skin'],1,2,1,1,0.25,1,0.25,0.5,1,2,2,0.5,2,1,1,1,1,0.5,0.0,0.0,0.0
015,I,Beedrill,Spear,bug,poison,Poison Bee Pokémon,50,50,1,29.5,45,3840,65,90,40,45,80,75,"['Swarm', 'Sniper (Hidden Ability)']",1,2,1,1,0.25,1,0.25,0.5,1,2,2,0.5,2,1,1,1,1,0.5,0.0,0.0,0.0
016,I,Pidgey,Poppo,normal,flying,Tiny Bird Pokémon,50,50,0.3,1.8,255,3840,40,45,40,35,35,56,"['Keen Eye', 'Tangled Feet', 'Big Pecks (Hidden Ability)']",1,1,1,2,0.5,2,1,1,0,1,1,0.5,2,0,1,1,1,1,0.0,0.0,0.0
017,I,Pidgeotto,Pigeon,normal,flying,Bird Pokémon,50,50,1.1,30,120,3840,63,60,55,50,50,71,"['Keen Eye', 'Tangled Feet', 'Big Pecks (Hidden Ability)']",1,1,1,2,0.5,2,1,1,0,1,1,0.5,2,0,1,1,1,1,0.0,0.0,0.0
018,I,Pidgeot,Pigeot,normal,flying,Bird Pokémon,50,50,1.5,39.5,45,3840,83,80,75,70,70,101,"['Keen Eye', 'Tangled Feet', 'Big Pecks (Hidden Ability)']",1,1,1,2,0.5,2,1,1,0,1,1,0.5,2,0,1,1,1,1,0.0,0.0,0.0
019,I,Rattata,Koratta,normal,dark,Mouse Pokémon,50,50,0.3,3.5,255,3840,30,56,35,25,35,72,"['Run Away', 'Guts', 'Hustle (Hidden) (Normal Forme)', 'Gluttony- Hustle', 'Thick Fat (Hidden)  (Alola Form)']",1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1,0.0,0.0,0.0
020,I,Raticate,Ratta,normal,dark,Mouse Pokémon,50,50,0.7,18.5,127,3840,55,81,60,50,70,97,"['Run Away', 'Guts', 'Hustle (Hidden) (Normal Forme)', 'Gluttony- Hustle', 'Thick Fat (Hidden)  (Alola Form)']",1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1,0.0,0.0,0.0
021,I,Spearow,Onisuzume,normal,flying,Tiny Bird Pokémon,50,50,0.3,2,255,3840,40,60,30,31,31,70,"['Keen Eye', 'Sniper (Hidden Ability)']",1,1,1,2,0.5,2,1,1,0,1,1,0.5,2,0,1,1,1,1,0.0,0.0,0.0
022,I,Fearow,Onidrill,normal,flying,Beak Pokémon,50,50,1.2,38,90,3840,65,90,65,61,61,100,"['Keen Eye', 'Sniper (Hidden Ability)']",1,1,1,2,0.5,2,1,1,0,1,1,0.5,2,0,1,1,1,1,0.0,0.0,0.0
023,I,Ekans,Arbo,poison,,Snake Pokémon,50,50,2,6.9,255,5120,35,60,44,40,54,55,"['Intimidate', 'Shed Skin', 'Unnerve (Hidden Ability)']",1,1,1,1,0.5,1,0.5,0.5,2,1,2,0.5,1,1,1,1,1,0.5,0.0,0.0,0.0
024,I,Arbok,Arbok,poison,,Cobra Pokémon,50,50,3.5,65,90,5120,60,95,69,65,79,80,"['Intimidate', 'Shed Skin', 'Unnerve (Hidden Ability)']",1,1,1,1,0.5,1,0.5,0.5,2,1,2,0.5,1,1,1,1,1,0.5,0.0,0.0,0.0
025,I,Pikachu,Pikachu,electric,,Mouse Pokémon,50.2,49.8,0.4,6.0,190,2560,35,55,40,50,50,90,"['Static', 'Lightning Rod (Hidden Ability)']",1,1,1,0.5,1,1,1,1,2,0.5,1,1,1,1,1,1,0.5,1,0.0,0.0,0.0
026,I,Raichu,Raichu,electric,electric,Mouse Pokémon,50.2,49.8,0.8,30.0,75,2560,60,90,55,90,80,110,"['Static', 'Lightning Rod (Hidden) (Normal Forme)', 'Surge Surfer (Alola Form)']",1,1,1,0.5,1,1,1,1,2,0.5,1,1,1,1,1,1,0.5,1,0.0,0.0,0.0
