national_number,english_name,stat_name,stat_value
1,Bulbasaur,hp,45
2,Ivysaur,hp,60
3,Venusaur,hp,80
4,Charmander,hp,39
5,Charmeleon,hp,58
6,Charizard,hp,78
7,Squirtle,hp,44
8,Wartortle,hp,59
9,Blastoise,hp,79
10,Caterpie,hp,45
11,Metapod,hp,50
12,Butterfree,hp,60
13,Weedle,hp,40
14,Kakuna,hp,45
15,Beedrill,hp,65
16,Pidgey,hp,40
17,Pidgeotto,hp,63
18,Pidgeot,hp,83
19,Rattata,hp,30
20,Raticate,hp,55
21,Spearow,hp,40
22,Fearow,hp,65
23,Ekans,hp,35
24,Arbok,hp,60
25,Pikachu,hp,35
26,Raichu,hp,60
27,Sandshrew,hp,50
28,Sandslash,hp,75
29,Nidoran♀,hp,55
30,Nidorina,hp,70
31,Nidoqueen,hp,90
32,Nidoran♂,hp,46
33,Nidorino,hp,61
34,Nidoking,hp,81
35,Clefairy,hp,70
36,Clefable,hp,95
37,Vulpix,hp,38
38,Ninetales,hp,73
39,Jigglypuff,hp,115
40,Wigglytuff,hp,140
41,Zubat,hp,40
42,Golbat,hp,75
43,Oddish,hp,45
44,Gloom,hp,60
45,Vileplume,hp,75
46,Paras,hp,35
47,Parasect,hp,60
48,Venonat,hp,60
49,Venomoth,hp,70
50,Diglett,hp,10
51,Dugtrio,hp,35
52,Meowth,hp,40
53,Persian,hp,65
54,Psyduck,hp,50
55,Golduck,hp,80
56,Mankey,hp,40
57,Primeape,hp,65
58,Growlithe,hp,55
59,Arcanine,hp,90
60,Poliwag,hp,40
61,Poliwhirl,hp,65
62,Poliwrath,hp,90
63,Abra,hp,25
64,Kadabra,hp,40
65,Alakazam,hp,55
66,Machop,hp,70
67,Machoke,hp,80
68,Machamp,hp,90
69,Bellsprout,hp,50
70,Weepinbell,hp,65
71,Victreebel,hp,80
72,Tentacool,hp,40
73,Tentacruel,hp,80
74,Geodude,hp,40
75,Graveler,hp,55
76,Golem,hp,80
77,Ponyta,hp,50
78,Rapidash,hp,65
79,Slowpoke,hp,90
80,Slowbro,hp,95
81,Magnemite,hp,25
82,Magneton,hp,50
83,Farfetch'd,hp,52
84,Doduo,hp,35
85,Dodrio,hp,60
86,Seel,hp,65
87,Dewgong,hp,90
88,Grimer,hp,80
89,Muk,hp,105
90,Shellder,hp,30
91,Cloyster,hp,50
92,Gastly,hp,30
93,Haunter,hp,45
94,Gengar,hp,60
95,Onix,hp,35
96,Drowzee,hp,60
97,Hypno,hp,85
98,Krabby,hp,30
99,Kingler,hp,55
100,Voltorb,hp,40
101,Electrode,hp,60
102,Exeggcute,hp,60
103,Exeggutor,hp,95
104,Cubone,hp,50
105,Marowak,hp,60
106,Hitmonlee,hp,50
107,Hitmonchan,hp,50
108,Lickitung,hp,90
109,Koffing,hp,40
110,Weezing,hp,65
111,Rhyhorn,hp,80
112,Rhydon,hp,105
113,Chansey,hp,250
114,Tangela,hp,65
115,Kangaskhan,hp,105
116,Horsea,hp,30
117,Seadra,hp,55
118,Goldeen,hp,45
119,Seaking,hp,80
120,Staryu,hp,30
121,Starmie,hp,60
122,Mr. Mime,hp,40
123,Scyther,hp,70
124,Jynx,hp,65
125,Electabuzz,hp,65
126,Magmar,hp,65
127,Pinsir,hp,65
128,Tauros,hp,75
129,Magikarp,hp,20
130,Gyarados,hp,95
131,Lapras,hp,130
132,Ditto,hp,48
133,Eevee,hp,55
134,Vaporeon,hp,130
135,Jolteon,hp,65
136,Flareon,hp,65
137,Porygon,hp,65
138,Omanyte,hp,35
139,Omastar,hp,70
140,Kabuto,hp,30
141,Kabutops,hp,60
142,Aerodactyl,hp,80
143,Snorlax,hp,160
144,Articuno,hp,90
145,Zapdos,hp,90
146,Moltres,hp,90
147,Dratini,hp,41
148,Dragonair,hp,61
149,Dragonite,hp,91
150,Mewtwo,hp,106
151,Mew,hp,100
152,Chikorita,hp,45
153,Bayleef,hp,60
154,Meganium,hp,80
155,Cyndaquil,hp,39
156,Quilava,hp,58
157,Typhlosion,hp,78
158,Totodile,hp,50
159,Croconaw,hp,65
160,Feraligatr,hp,85
161,Sentret,hp,35
162,Furret,hp,85
163,Hoothoot,hp,60
164,Noctowl,hp,100
165,Ledyba,hp,40
166,Ledian,hp,55
167,Spinarak,hp,40
168,Ariados,hp,70
169,Crobat,hp,85
170,Chinchou,hp,75
171,Lanturn,hp,125
172,Pichu,hp,20
173,Cleffa,hp,50
174,Igglybuff,hp,90
175,Togepi,hp,35
176,Togetic,hp,55
177,Natu,hp,40
178,Xatu,hp,65
179,Mareep,hp,55
180,Flaaffy,hp,70
181,Ampharos,hp,90
182,Bellossom,hp,75
183,Marill,hp,70
184,Azumarill,hp,100
185,Sudowoodo,hp,70
186,Politoed,hp,90
187,Hoppip,hp,35
188,Skiploom,hp,55
189,Jumpluff,hp,75
190,Aipom,hp,55
191,Sunkern,hp,30
192,Sunflora,hp,75
193,Yanma,hp,65
194,Wooper,hp,55
195,Quagsire,hp,95
196,Espeon,hp,65
197,Umbreon,hp,95
198,Murkrow,hp,60
199,Slowking,hp,95
200,Misdreavus,hp,60
201,Unown,hp,48
202,Wobbuffet,hp,190
203,Girafarig,hp,70
204,Pineco,hp,50
205,Forretress,hp,75
206,Dunsparce,hp,100
207,Gligar,hp,65
208,Steelix,hp,75
209,Snubbull,hp,60
210,Granbull,hp,90
211,Qwilfish,hp,65
212,Scizor,hp,70
213,Shuckle,hp,20
214,Heracross,hp,80
215,Sneasel,hp,55
216,Teddiursa,hp,60
217,Ursaring,hp,90
218,Slugma,hp,40
219,Magcargo,hp,60
220,Swinub,hp,50
221,Piloswine,hp,100
222,Corsola,hp,65
223,Remoraid,hp,35
224,Octillery,hp,75
225,Delibird,hp,45
226,Mantine,hp,85
227,Skarmory,hp,65
228,Houndour,hp,45
229,Houndoom,hp,75
230,Kingdra,hp,75
231,Phanpy,hp,90
232,Donphan,hp,90
233,Porygon2,hp,85
234,Stantler,hp,73
235,Smeargle,hp,55
236,Tyrogue,hp,35
237,Hitmontop,hp,50
238,Smoochum,hp,45
239,Elekid,hp,45
240,Magby,hp,45
241,Miltank,hp,95
242,Blissey,hp,255
243,Raikou,hp,90
244,Entei,hp,115
245,Suicune,hp,100
246,Larvitar,hp,50
247,Pupitar,hp,70
248,Tyranitar,hp,100
249,Lugia,hp,106
250,Ho-Oh,hp,106
251,Celebi,hp,100
252,Treecko,hp,40
253,Grovyle,hp,50
254,Sceptile,hp,70
255,Torchic,hp,45
256,Combusken,hp,60
257,Blaziken,hp,80
258,Mudkip,hp,50
259,Marshtomp,hp,70
260,Swampert,hp,100
261,Poochyena,hp,35
262,Mightyena,hp,70
263,Zigzagoon,hp,38
264,Linoone,hp,78
265,Wurmple,hp,45
266,Silcoon,hp,50
267,Beautifly,hp,60
268,Cascoon,hp,50
269,Dustox,hp,60
270,Lotad,hp,40
271,Lombre,hp,60
272,Ludicolo,hp,80
273,Seedot,hp,40
274,Nuzleaf,hp,70
275,Shiftry,hp,90
276,Taillow,hp,40
277,Swellow,hp,60
278,Wingull,hp,40
279,Pelipper,hp,60
280,Ralts,hp,28
281,Kirlia,hp,38
282,Gardevoir,hp,68
283,Surskit,hp,40
284,Masquerain,hp,70
285,Shroomish,hp,60
286,Breloom,hp,60
287,Slakoth,hp,60
288,Vigoroth,hp,80
289,Slaking,hp,150
290,Nincada,hp,31
291,Ninjask,hp,61
292,Shedinja,hp,1
293,Whismur,hp,64
294,Loudred,hp,84
295,Exploud,hp,104
296,Makuhita,hp,72
297,Hariyama,hp,144
298,Azurill,hp,50
299,Nosepass,hp,30
300,Skitty,hp,50
301,Delcatty,hp,70
302,Sableye,hp,50
303,Mawile,hp,50
304,Aron,hp,50
305,Lairon,hp,60
306,Aggron,hp,70
307,Meditite,hp,30
308,Medicham,hp,60
309,Electrike,hp,40
310,Manectric,hp,70
311,Plusle,hp,60
312,Minun,hp,60
313,Volbeat,hp,65
314,Illumise,hp,65
315,Roselia,hp,50
316,Gulpin,hp,70
317,Swalot,hp,100
318,Carvanha,hp,45
319,Sharpedo,hp,70
320,Wailmer,hp,130
321,Wailord,hp,170
322,Numel,hp,60
323,Camerupt,hp,70
324,Torkoal,hp,70
325,Spoink,hp,60
326,Grumpig,hp,80
327,Spinda,hp,60
328,Trapinch,hp,45
329,Vibrava,hp,50
330,Flygon,hp,80
331,Cacnea,hp,50
332,Cacturne,hp,70
333,Swablu,hp,45
334,Altaria,hp,75
335,Zangoose,hp,73
336,Seviper,hp,73
337,Lunatone,hp,90
338,Solrock,hp,90
339,Barboach,hp,50
340,Whiscash,hp,110
341,Corphish,hp,43
342,Crawdaunt,hp,63
343,Baltoy,hp,40
344,Claydol,hp,60
345,Lileep,hp,66
346,Cradily,hp,86
347,Anorith,hp,45
348,Armaldo,hp,75
349,Feebas,hp,20
350,Milotic,hp,95
351,Castform,hp,70
352,Kecleon,hp,60
353,Shuppet,hp,44
354,Banette,hp,64
355,Duskull,hp,20
356,Dusclops,hp,40
357,Tropius,hp,99
358,Chimecho,hp,75
359,Absol,hp,65
360,Wynaut,hp,95
361,Snorunt,hp,50
362,Glalie,hp,80
363,Spheal,hp,70
364,Sealeo,hp,90
365,Walrein,hp,110
366,Clamperl,hp,35
367,Huntail,hp,55
368,Gorebyss,hp,55
369,Relicanth,hp,100
370,Luvdisc,hp,43
371,Bagon,hp,45
372,Shelgon,hp,65
373,Salamence,hp,95
374,Beldum,hp,40
375,Metang,hp,60
376,Metagross,hp,80
377,Regirock,hp,80
378,Regice,hp,80
379,Registeel,hp,80
380,Latias,hp,80
381,Latios,hp,80
382,Kyogre,hp,100
383,Groudon,hp,100
384,Rayquaza,hp,105
385,Jirachi,hp,100
386,Deoxys,hp,50
387,Turtwig,hp,55
388,Grotle,hp,75
389,Torterra,hp,95
390,Chimchar,hp,44
391,Monferno,hp,64
392,Infernape,hp,76
393,Piplup,hp,53
394,Prinplup,hp,64
395,Empoleon,hp,84
396,Starly,hp,40
397,Staravia,hp,55
398,Staraptor,hp,85
399,Bidoof,hp,59
400,Bibarel,hp,79
401,Kricketot,hp,37
402,Kricketune,hp,77
403,Shinx,hp,45
404,Luxio,hp,60
405,Luxray,hp,80
406,Budew,hp,40
407,Roserade,hp,60
408,Cranidos,hp,67
409,Rampardos,hp,97
410,Shieldon,hp,30
411,Bastiodon,hp,60
412,Burmy,hp,40
413,Wormadam,hp,60
414,Mothim,hp,70
415,Combee,hp,30
416,Vespiquen,hp,70
417,Pachirisu,hp,60
418,Buizel,hp,55
419,Floatzel,hp,85
420,Cherubi,hp,45
421,Cherrim,hp,70
422,Shellos,hp,76
423,Gastrodon,hp,111
424,Ambipom,hp,75
425,Drifloon,hp,90
426,Drifblim,hp,150
427,Buneary,hp,55
428,Lopunny,hp,65
429,Mismagius,hp,60
430,Honchkrow,hp,100
431,Glameow,hp,49
432,Purugly,hp,71
433,Chingling,hp,45
434,Stunky,hp,63
435,Skuntank,hp,103
436,Bronzor,hp,57
437,Bronzong,hp,67
438,Bonsly,hp,50
439,Mime Jr.,hp,20
440,Happiny,hp,100
441,Chatot,hp,76
442,Spiritomb,hp,50
443,Gible,hp,58
444,Gabite,hp,68
445,Garchomp,hp,108
446,Munchlax,hp,135
447,Riolu,hp,40
448,Lucario,hp,70
449,Hippopotas,hp,68
450,Hippowdon,hp,108
451,Skorupi,hp,40
452,Drapion,hp,70
453,Croagunk,hp,48
454,Toxicroak,hp,83
455,Carnivine,hp,74
456,Finneon,hp,49
457,Lumineon,hp,69
458,Mantyke,hp,45
459,Snover,hp,60
460,Abomasnow,hp,90
461,Weavile,hp,70
462,Magnezone,hp,70
463,Lickilicky,hp,110
464,Rhyperior,hp,115
465,Tangrowth,hp,100
466,Electivire,hp,75
467,Magmortar,hp,75
468,Togekiss,hp,85
469,Yanmega,hp,86
470,Leafeon,hp,65
471,Glaceon,hp,65
472,Gliscor,hp,75
473,Mamoswine,hp,110
474,Porygon-Z,hp,85
475,Gallade,hp,68
476,Probopass,hp,60
477,Dusknoir,hp,45
478,Froslass,hp,70
479,Rotom,hp,50
480,Uxie,hp,75
481,Mesprit,hp,80
482,Azelf,hp,75
483,Dialga,hp,100
484,Palkia,hp,90
485,Heatran,hp,91
486,Regigigas,hp,110
487,Giratina,hp,150
488,Cresselia,hp,120
489,Phione,hp,80
490,Manaphy,hp,100
491,Darkrai,hp,70
492,Shaymin,hp,100
493,Arceus,hp,120
494,Victini,hp,100
495,Snivy,hp,45
496,Servine,hp,60
497,Serperior,hp,75
498,Tepig,hp,65
499,Pignite,hp,90
500,Emboar,hp,110
501,Oshawott,hp,55
502,Dewott,hp,75
503,Samurott,hp,95
504,Patrat,hp,45
505,Watchog,hp,60
506,Lillipup,hp,45
507,Herdier,hp,65
508,Stoutland,hp,85
509,Purrloin,hp,41
510,Liepard,hp,64
511,Pansage,hp,50
512,Simisage,hp,75
513,Pansear,hp,50
514,Simisear,hp,75
515,Panpour,hp,50
516,Simipour,hp,75
517,Munna,hp,76
518,Musharna,hp,116
519,Pidove,hp,50
520,Tranquill,hp,62
521,Unfezant,hp,80
522,Blitzle,hp,45
523,Zebstrika,hp,75
524,Roggenrola,hp,55
525,Boldore,hp,70
526,Gigalith,hp,85
527,Woobat,hp,65
528,Swoobat,hp,67
529,Drilbur,hp,60
530,Excadrill,hp,110
531,Audino,hp,103
532,Timburr,hp,75
533,Gurdurr,hp,85
534,Conkeldurr,hp,105
535,Tympole,hp,50
536,Palpitoad,hp,75
537,Seismitoad,hp,105
538,Throh,hp,120
539,Sawk,hp,75
540,Sewaddle,hp,45
541,Swadloon,hp,55
542,Leavanny,hp,75
543,Venipede,hp,30
544,Whirlipede,hp,40
545,Scolipede,hp,60
546,Cottonee,hp,40
547,Whimsicott,hp,60
548,Petilil,hp,45
549,Lilligant,hp,70
550,Basculin,hp,70
551,Sandile,hp,50
552,Krokorok,hp,60
553,Krookodile,hp,95
554,Darumaka,hp,70
555,Darmanitan,hp,105
556,Maractus,hp,75
557,Dwebble,hp,50
558,Crustle,hp,70
559,Scraggy,hp,50
560,Scrafty,hp,65
561,Sigilyph,hp,72
562,Yamask,hp,38
563,Cofagrigus,hp,58
564,Tirtouga,hp,54
565,Carracosta,hp,74
566,Archen,hp,55
567,Archeops,hp,75
568,Trubbish,hp,50
569,Garbodor,hp,80
570,Zorua,hp,40
571,Zoroark,hp,60
572,Minccino,hp,55
573,Cinccino,hp,75
574,Gothita,hp,45
575,Gothorita,hp,60
576,Gothitelle,hp,70
577,Solosis,hp,45
578,Duosion,hp,65
579,Reuniclus,hp,110
580,Ducklett,hp,62
581,Swanna,hp,75
582,Vanillite,hp,36
583,Vanillish,hp,51
584,Vanilluxe,hp,71
585,Deerling,hp,60
586,Sawsbuck,hp,80
587,Emolga,hp,55
588,Karrablast,hp,50
589,Escavalier,hp,70
590,Foongus,hp,69
591,Amoonguss,hp,114
592,Frillish,hp,55
593,Jellicent,hp,100
594,Alomomola,hp,165
595,Joltik,hp,50
596,Galvantula,hp,70
597,Ferroseed,hp,44
598,Ferrothorn,hp,74
599,Klink,hp,40
600,Klang,hp,60
601,Klinklang,hp,60
602,Tynamo,hp,35
603,Eelektrik,hp,65
604,Eelektross,hp,85
605,Elgyem,hp,55
606,Beheeyem,hp,75
607,Litwick,hp,50
608,Lampent,hp,60
609,Chandelure,hp,60
610,Axew,hp,46
611,Fraxure,hp,66
612,Haxorus,hp,76
613,Cubchoo,hp,55
614,Beartic,hp,95
615,Cryogonal,hp,80
616,Shelmet,hp,50
617,Accelgor,hp,80
618,Stunfisk,hp,109
619,Mienfoo,hp,45
620,Mienshao,hp,65
621,Druddigon,hp,77
622,Golett,hp,59
623,Golurk,hp,89
624,Pawniard,hp,45
625,Bisharp,hp,65
626,Bouffalant,hp,95
627,Rufflet,hp,70
628,Braviary,hp,100
629,Vullaby,hp,70
630,Mandibuzz,hp,110
631,Heatmor,hp,85
632,Durant,hp,58
633,Deino,hp,52
634,Zweilous,hp,72
635,Hydreigon,hp,92
636,Larvesta,hp,55
637,Volcarona,hp,85
638,Cobalion,hp,91
639,Terrakion,hp,91
640,Virizion,hp,91
641,Tornadus,hp,79
642,Thundurus,hp,79
643,Reshiram,hp,100
644,Zekrom,hp,100
645,Landorus,hp,89
646,Kyurem,hp,125
647,Keldeo,hp,91
648,Meloetta,hp,100
649,Genesect,hp,71
650,Chespin,hp,56
651,Quilladin,hp,61
652,Chesnaught,hp,88
653,Fennekin,hp,40
654,Braixen,hp,59
655,Delphox,hp,75
656,Froakie,hp,41
657,Frogadier,hp,54
658,Greninja,hp,72
659,Bunnelby,hp,38
660,Diggersby,hp,85
661,Fletchling,hp,45
662,Fletchinder,hp,62
663,Talonflame,hp,78
664,Scatterbug,hp,38
665,Spewpa,hp,45
666,Vivillon,hp,80
667,Litleo,hp,62
668,Pyroar,hp,86
669,Flabébé,hp,44
670,Floette,hp,54
671,Florges,hp,78
672,Skiddo,hp,66
673,Gogoat,hp,123
674,Pancham,hp,67
675,Pangoro,hp,95
676,Furfrou,hp,75
677,Espurr,hp,62
678,Meowstic,hp,74
679,Honedge,hp,45
680,Doublade,hp,59
681,Aegislash,hp,60
682,Spritzee,hp,78
683,Aromatisse,hp,101
684,Swirlix,hp,62
685,Slurpuff,hp,82
686,Inkay,hp,53
687,Malamar,hp,86
688,Binacle,hp,42
689,Barbaracle,hp,72
690,Skrelp,hp,50
691,Dragalge,hp,65
692,Clauncher,hp,50
693,Clawitzer,hp,71
694,Helioptile,hp,44
695,Heliolisk,hp,62
696,Tyrunt,hp,58
697,Tyrantrum,hp,82
698,Amaura,hp,77
699,Aurorus,hp,123
700,Sylveon,hp,95
701,Hawlucha,hp,78
702,Dedenne,hp,67
703,Carbink,hp,50
704,Goomy,hp,45
705,Sliggoo,hp,68
706,Goodra,hp,90
707,Klefki,hp,57
708,Phantump,hp,43
709,Trevenant,hp,85
710,Pumpkaboo,hp,49
711,Gourgeist,hp,65
712,Bergmite,hp,55
713,Avalugg,hp,95
714,Noibat,hp,40
715,Noivern,hp,85
716,Xerneas,hp,126
717,Yveltal,hp,126
718,Zygarde,hp,108
719,Diancie,hp,50
720,Hoopa,hp,80
721,Volcanion,hp,80
722,Rowlet,hp,68
723,Dartrix,hp,78
724,Decidueye,hp,78
725,Litten,hp,45
726,Torracat,hp,65
727,Incineroar,hp,95
728,Popplio,hp,50
729,Brionne,hp,60
730,Primarina,hp,80
731,Pikipek,hp,35
732,Trumbeak,hp,55
733,Toucannon,hp,80
734,Yungoos,hp,48
735,Gumshoos,hp,88
736,Grubbin,hp,47
737,Charjabug,hp,57
738,Vikavolt,hp,77
739,Crabrawler,hp,47
740,Crabominable,hp,97
741,Oricorio,hp,75
742,Cutiefly,hp,40
743,Ribombee,hp,60
744,Rockruff,hp,45
745,Lycanroc,hp,75
746,Wishiwashi,hp,45
747,Mareanie,hp,50
748,Toxapex,hp,50
749,Mudbray,hp,70
750,Mudsdale,hp,100
751,Dewpider,hp,38
752,Araquanid,hp,68
753,Fomantis,hp,40
754,Lurantis,hp,70
755,Morelull,hp,40
756,Shiinotic,hp,60
757,Salandit,hp,48
758,Salazzle,hp,68
759,Stufful,hp,70
760,Bewear,hp,120
761,Bounsweet,hp,42
762,Steenee,hp,52
763,Tsareena,hp,72
764,Comfey,hp,51
765,Oranguru,hp,90
766,Passimian,hp,100
767,Wimpod,hp,25
768,Golisopod,hp,75
769,Sandygast,hp,55
770,Palossand,hp,85
771,Pyukumuku,hp,55
772,Type: Null,hp,95
773,Silvally,hp,95
774,Minior,hp,60
775,Komala,hp,65
776,Turtonator,hp,60
777,Togedemaru,hp,65
778,Mimikyu,hp,55
779,Bruxish,hp,68
780,Drampa,hp,78
781,Dhelmise,hp,70
782,Jangmo-o,hp,45
783,Hakamo-o,hp,55
784,Kommo-o,hp,75
785,Tapu Koko,hp,70
786,Tapu Lele,hp,70
787,Tapu Bulu,hp,70
788,Tapu Fini,hp,70
789,Cosmog,hp,43
790,Cosmoem,hp,43
791,Solgaleo,hp,137
792,Lunala,hp,137
793,Nihilego,hp,109
794,Buzzwole,hp,107
795,Pheromosa,hp,71
796,Xurkitree,hp,83
797,Celesteela,hp,97
798,Kartana,hp,59
799,Guzzlord,hp,223
800,Necrozma,hp,97
801,Magearna,hp,80
802,Marshadow,hp,90
803,Poipole,hp,67
804,Naganadel,hp,73
805,Stakataka,hp,61
806,Blacephalon,hp,53
807,Zeraora,hp,88
808,Meltan,hp,46
809,Melmetal,hp,135
810,Grookey,hp,50
811,Thwackey,hp,70
812,Rillaboom,hp,100
813,Scorbunny,hp,50
814,Raboot,hp,65
815,Cinderace,hp,80
816,Sobble,hp,50
817,Drizzile,hp,65
818,Inteleon,hp,70
819,Skwovet,hp,70
820,Greedent,hp,120
821,Rookidee,hp,38
822,Corvisquire,hp,68
823,Corviknight,hp,98
824,Blipbug,hp,25
825,Dottler,hp,50
826,Orbeetle,hp,60
827,Nickit,hp,40
828,Thievul,hp,70
829,Gossifleur,hp,40
830,Eldegoss,hp,60
831,Wooloo,hp,42
832,Dubwool,hp,72
833,Chewtle,hp,50
834,Drednaw,hp,90
835,Yamper,hp,59
836,Boltund,hp,69
837,Rolycoly,hp,30
838,Carkol,hp,80
839,Coalossal,hp,110
840,Applin,hp,40
841,Flapple,hp,70
842,Appletun,hp,110
843,Silicobra,hp,52
844,Sandaconda,hp,72
845,Cramorant,hp,70
846,Arrokuda,hp,41
847,Barraskewda,hp,61
848,Toxel,hp,40
849,Toxtricity,hp,75
850,Sizzlipede,hp,50
851,Centiskorch,hp,100
852,Clobbopus,hp,50
853,Grapploct,hp,80
854,Sinistea,hp,40
855,Polteageist,hp,60
856,Hatenna,hp,42
857,Hattrem,hp,57
858,Hatterene,hp,57
859,Impidimp,hp,45
860,Morgrem,hp,65
861,Grimmsnarl,hp,95
862,Obstagoon,hp,93
863,Perrserker,hp,70
864,Cursola,hp,60
865,Sirfetch'd,hp,62
866,Mr. Rime,hp,80
867,Runerigus,hp,58
868,Milcery,hp,45
869,Alcremie,hp,65
870,Falinks,hp,65
871,Pincurchin,hp,48
872,Snom,hp,30
873,Frosmoth,hp,70
874,Stonjourner,hp,100
875,Eiscue,hp,75
876,Indeedee,hp,60
877,Morpeko,hp,58
878,Cufant,hp,72
879,Copperajah,hp,122
880,Dracozolt,hp,90
881,Arctozolt,hp,90
882,Dracovish,hp,90
883,Arctovish,hp,90
884,Duraludon,hp,70
885,Dreepy,hp,28
886,Drakloak,hp,68
887,Dragapult,hp,88
888,Zacian,hp,92
889,Zamazenta,hp,92
890,Eternatus,hp,140
891,Kubfu,hp,60
892,Urshifu,hp,100
893,Zarude,hp,105
894,Regieleki,hp,80
895,Regidrago,hp,200
896,Glastrier,hp,100
897,Spectrier,hp,100
898,Calyrex,hp,100
899,Wyrdeer,hp,103
900,Kleavor,hp,70
901,Ursaluna,hp,130
902,Basculegion,hp,120
903,Sneasler,hp,80
904,Overqwil,hp,85
905,Enamorus,hp,74
906,Sprigatito,hp,40
907,Floragato,hp,61
908,Meowscarada,hp,76
909,Fuecoco,hp,67
910,Crocalor,hp,81
911,Skeledirge,hp,104
912,Quaxly,hp,55
913,Quaxwell,hp,70
914,Quaquaval,hp,85
915,Lechonk,hp,54
916,Oinkologne,hp,110
917,Tarountula,hp,35
918,Spidops,hp,60
919,Nymble,hp,33
920,Lokix,hp,71
921,Pawmi,hp,45
922,Pawmo,hp,60
923,Pawmot,hp,70
924,Tandemaus,hp,50
925,Maushold,hp,74
926,Fidough,hp,37
927,Dachsbun,hp,57
928,Smoliv,hp,41
929,Dolliv,hp,52
