gen,english_name,percent_male,percent_female,height_m,weight_kg,capture_rate,base_egg_steps,hp,attack,defense,sp_attack,sp_defense,speed,against_normal,against_fire,against_water,against_electric,against_grass,against_ice,against_fighting,against_poison,against_ground,against_flying,against_psychict,against_bug,against_rock,against_ghost,against_dragon,against_dark,against_steel,against_fairy,votes_first,votes_top_6,num_abilities,evo_length,has_mega_evolution,has_gigantamax,rarity,class_primary,class_secondary,total_offense,total_defense,overall_stat_sum,offense_ratio,aggression_index,offense_share,mechanic_stack,long_evo_chain,mechanic_complexity,legendary_or_mythical,resistance_pc1,resistance_pc2,resistance_pc3
1.0,Bulbasaur,88.14,11.86,0.7,6.9,45.0,5120.0,45.0,49.0,49.0,65.0,65.0,45.0,1.0,2.0,0.5,0.5,0.25,2.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,57.0,147.0,2.0,5.0,0.0,0.0,0.0,0,0,114.0,114.0,318.0,0.9999999912280703,0.0,0.35849056491040704,0.0,1,1.0,0,1.8177852272077555,1.208130128274333,-0.5594684686753328
1.0,Ivysaur,88.14,11.86,1.0,13.0,45.0,5120.0,60.0,62.0,63.0,80.0,80.0,60.0,1.0,2.0,0.5,0.5,0.25,2.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,2.0,25.0,2.0,5.0,0.0,0.0,0.0,0,0,142.0,143.0,405.0,0.9930069860628882,-1.0,0.3506172830848956,0.0,1,1.0,0,1.8177852272077555,1.208130128274333,-0.5594684686753328
1.0,Venusaur,88.14,11.86,2.0,100.0,45.0,5120.0,80.0,82.0,83.0,100.0,100.0,80.0,1.0,2.0,0.5,0.5,0.25,2.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,9.0,61.0,2.0,5.0,1.0,1.0,0.0,0,0,182.0,183.0,525.0,0.9945355136910627,-1.0,0.3466666660063492,2.0,1,3.0,0,1.8177852272077555,1.208130128274333,-0.5594684686753328
1.0,Charmander,88.14,11.86,0.6,8.5,45.0,5120.0,39.0,52.0,43.0,60.0,50.0,65.0,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5,12.0,38.0,2.0,5.0,0.0,0.0,0.0,1,1,112.0,93.0,309.0,1.2043010623193435,19.0,0.3624595457525581,0.0,1,1.0,0,-1.5269205182211625,0.15685675139022742,-1.487200314591491
1.0,Charmeleon,88.14,11.86,1.1,19.0,45.0,5120.0,58.0,64.0,58.0,80.0,65.0,80.0,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5,3.0,8.0,2.0,5.0,0.0,0.0,0.0,1,1,144.0,123.0,405.0,1.1707316977989293,21.0,0.3555555546776406,0.0,1,1.0,0,-1.5269205182211625,0.15685675139022742,-1.487200314591491
1.0,Charizard,88.14,11.86,1.7,90.5,45.0,5120.0,78.0,84.0,78.0,109.0,85.0,100.0,1.0,0.5,2.0,2.0,0.25,1.0,0.5,1.0,0.0,1.0,1.0,0.25,4.0,1.0,1.0,1.0,0.5,0.5,69.0,248.0,2.0,5.0,1.0,1.0,0.0,1,2,193.0,163.0,534.0,1.1840490724904964,30.0,0.3614232202969603,2.0,1,3.0,0,0.0941565110350989,1.3676988031366022,-3.5074107025953425
1.0,Squirtle,88.14,11.86,0.5,9.0,45.0,5120.0,44.0,48.0,65.0,50.0,64.0,43.0,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,19.0,70.0,2.0,5.0,0.0,0.0,0.0,2,1,98.0,129.0,314.0,0.759689916591551,-31.0,0.3121019098340704,0.0,1,1.0,0,-0.5976608141959654,-0.4529914949081415,-0.8629421815921346
1.0,Wartortle,88.14,11.86,1.0,22.5,45.0,5120.0,59.0,63.0,80.0,65.0,80.0,58.0,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,6.0,21.0,2.0,5.0,0.0,0.0,0.0,2,1,128.0,160.0,405.0,0.7999999950000001,-32.0,0.31604938193568055,0.0,1,1.0,0,-0.5976608141959654,-0.4529914949081415,-0.8629421815921346
1.0,Blastoise,88.14,11.86,1.6,85.5,45.0,5120.0,79.0,83.0,100.0,85.0,105.0,78.0,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,20.0,89.0,2.0,5.0,1.0,1.0,0.0,2,1,168.0,205.0,530.0,0.8195121911243308,-37.0,0.3169811314773941,2.0,1,3.0,0,-0.5976608141959654,-0.4529914949081415,-0.8629421815921346
1.0,Caterpie,50.2,49.8,0.3,2.9,255.0,3840.0,45.0,30.0,35.0,20.0,20.0,45.0,1.0,2.0,1.0,1.0,0.5,1.0,0.5,1.0,0.5,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,6.0,2.0,5.0,0.0,0.0,0.0,3,1,50.0,55.0,195.0,0.9090908925619838,-5.0,0.25641025509533205,0.0,1,1.0,0,1.6446676776099343,1.0138827834531203,-0.8911663665226657
